"script_path","experiment_module","figure_type","font_issue","linewidth_issue","colormap_issue","legend_issue","export_issue","notes"
"Relaxation ver3/pickRelaxWindow.m","relaxation","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/plotArrhenius.m","relaxation","observable curves","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/plotRelaxationCollapse.m","relaxation","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/plotRelaxationParamsVsTemp.m","relaxation","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/Plots_relaxation.m","relaxation","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","jet colormap used","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Relaxation ver3/showRelaxationFitTable.m","relaxation","observable curves","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"General ver2/appearanceControl/addGradientTempArrowPRL.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/appearanceControl/addTemperatureArrowPRL.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/appearanceControl/combineOpenFiguresToPanels.m","shared_helper","helper utility","","","","","uses print-based export path; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/appearanceControl/combineOpenFiguresToPanels_v2.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/appearanceControl/CommonFormatting/formatAllFigures.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/appearanceControl/CommonFormatting/formatThreeFiguresForPaper.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/appearanceControl/convertCartesianFigureToPolar.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/appearanceControl/CtrlGUI/applyColormapToFigures.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/appearanceControl/CtrlGUI/applyToSingleFigure.m","shared_helper","helper utility","","","","legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/appearanceControl/publicationCore/normalizeAxesMargins.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/appearanceControl/publicationCore/normalizeAxesMarginsUnified.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/appearanceControl/refLineGUI/addRefLine.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/figureSaving/quickSaveFigsPPT_simple.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/figureSaving/save_figs.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/figureSaving/save_figs_and_JPEG.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/figureSaving/save_figs_and_JPEG_with_new_folder.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/figureSaving/save_figs_with_new_folder.m","shared_helper","helper utility","","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found",""
"General ver2/figureSaving/save_PDF.m","shared_helper","helper utility","","","","","uses print-based export path; does not clearly archive both PNG and FIG through canonical helper pattern",""
"General ver2/figureSaving/save_PDF_with_new_folder.m","shared_helper","helper utility","","","","","uses print-based export path; does not clearly archive both PNG and FIG through canonical helper pattern",""
"tools/save_run_figure.m","shared_helper","helper utility","","","","","shared helper exports only PNG(300 dpi) + FIG; no PDF or 600 dpi PNG",""
"Switching/analysis/switching_alignment_audit.m","switching","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","turbo used even though publication guide disallows it","legend uses auto/best placement inside data region; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching/analysis/switching_mechanism_followup.m","switching","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","turbo used even though publication guide disallows it","legend uses auto/best placement inside data region; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching/analysis/switching_mechanism_survey.m","switching","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","turbo used even though publication guide disallows it","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching/analysis/switching_mode23_analysis.m","switching","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","inherits save_run_figure limitations: no PDF, PNG only at 300 dpi; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching/analysis/switching_observable_basis_test.m","switching","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching/analysis/switching_observable_stability_survey.m","switching","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","turbo used even though publication guide disallows it","","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching/analysis/switching_second_coordinate_duel.m","switching","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching/analysis/switching_second_structural_observable_search.m","switching","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching/analysis/switching_shape_rank_analysis.m","switching","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching/analysis/switching_XI_Xshape_analysis.m","switching","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","inherits save_run_figure limitations: no PDF, PNG only at 300 dpi; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching ver12/addLegends.m","switching_legacy","observable curves","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Switching ver12/createP2PSwitching.m","switching_legacy","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Switching ver12/createP2PSwitchingConfig.m","switching_legacy","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Switching ver12/createSwitchingStabilityFigure.m","switching_legacy","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching ver12/debugPlotBlockwisePulseDrift.m","switching_legacy","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Switching ver12/debugPlotGlobalPulseDrift_blocks.m","switching_legacy","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Switching ver12/debugPlotGlobalPulseDrift_TimeAxis.m","switching_legacy","time cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Switching ver12/main/analyzeSwitchingStability.m","switching_legacy","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching ver12/main/Switching_main.m","switching_legacy","temperature cuts","no explicit Helvetica/Arial font family; uses review-scale 12+ pt typography instead of 8/9 pt publication sizing","","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Switching ver12/plots/createFilteredCenteredPlots.m","switching_legacy","observable curves","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Switching ver12/plots/createFilteredOffsetPlots.m","switching_legacy","observable curves","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
"Switching ver12/plots/createFilteredPlots.m","switching_legacy","observable curves","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Switching ver12/plots/createPlotsSwitching.m","switching_legacy","observable curves","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Switching ver12/plots/createUnfilteredPlots.m","switching_legacy","observable curves","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Switching ver12/plots/plotAmpTempSwitchingMap_switchCh.m","switching_legacy","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; latex interpreter used; verify it is only for necessary notation","sub-1.0 plot linewidths appear possible","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","heatmap orientation not set explicitly; publication figure size not controlled in centimeters/paper units"
"Switching ver12/plots/plotFilteredCenteredData.m","switching_legacy","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; latex interpreter used; verify it is only for necessary notation","line widths mostly implicit","","legend uses auto/best placement inside data region","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Switching ver12/plots/plotFilteredCenteredSubplotsDiffConfig.m","switching_legacy","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; latex interpreter used; verify it is only for necessary notation","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching ver12/plots/plotFilteredData.m","switching_legacy","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; latex interpreter used; verify it is only for necessary notation","line widths mostly implicit","","legend uses auto/best placement inside data region","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Switching ver12/plots/plotFilteredOffsetData.m","switching_legacy","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Switching ver12/plots/plotUnfilteredData.m","switching_legacy","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; latex interpreter used; verify it is only for necessary notation","line widths mostly implicit","","legend uses auto/best placement inside data region","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Switching ver12/plotTotalBlockDriftVsDep_PulseResolved.m","switching_legacy","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Switching ver12/tables/createTableSwitching.m","switching_legacy","observable curves","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
