script_path,language,exists,module,related_task_or_prefix,role,reads_inputs,writes_outputs,creates_figures,uses_smoothing,uses_derivatives,uses_interpolation,uses_fitting,uses_time_warping,uses_rate_spectrum_logic,uses_reconstruction_or_decomposition,uses_model_selection,scientific_metric_computation,risk_level,matlab_conversion_needed,matlab_parity_needed,safe_to_keep_as_accelerator,notes
tools\agent24h_render_figures.ps1,PowerShell,YES,Tools,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,HIGH,YES,YES,NO,Non-MATLAB PNG/PDF or chart image; not default-allowed for scientific figures per INFRA-01B unless approved.
tools\alternative_coordinate_search.ps1,PowerShell,YES,Tools,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,System.Drawing or chart PNG emitters; treat as provisional until MATLAB parity or approval.
tools\build_alpha_res_trajectory_outputs.ps1,PowerShell,YES,Tools,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
tools\build_canonical_run_reality_map.ps1,PowerShell,YES,Tools,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
tools\check_io_consistency.ps1,PowerShell,YES,Tools,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
tools\compute_aging_hermetic_agent24i.ps1,PowerShell,YES,Tools,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,System.Drawing or chart PNG emitters; treat as provisional until MATLAB parity or approval.
tools\compute_alpha_from_pt_agent20b.ps1,PowerShell,YES,Tools,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
tools\generate_run_fingerprint.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
tools\maintenance\_gen_INFRA_02_inventory.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
tools\maintenance\guard_maintenance_publication_health.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
tools\maintenance\guard_run_snapshot_coverage.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
tools\maintenance\install_daily_maintenance_task.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
tools\maintenance\run_daily_maintenance_local.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
tools\maintenance\run_governor_minimal.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
tools\maintenance\run_maintenance_governor_fixture.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
tools\maintenance\run_run_output_audit_local.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
tools\pre_execution_guard.ps1,PowerShell,YES,Tools,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
tools\pt_width_spread_from_audit.py,Python,YES,Tools,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,matplotlib savefig to figures/ or run_dir; scientific overlays.
tools\rmse_closure_compute.ps1,PowerShell,YES,Tools,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
tools\run_agent23a_R_vs_state.ps1,PowerShell,YES,Tools,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,System.Drawing or chart PNG emitters; treat as provisional until MATLAB parity or approval.
tools\run_collective_state_agent19c.ps1,PowerShell,YES,Tools,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,System.Drawing or chart PNG emitters; treat as provisional until MATLAB parity or approval.
tools\run_fingerprint.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
tools\run_kappa1_from_pt_agent20a.ps1,PowerShell,YES,Tools,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
tools\run_kappa1_from_pt_agent20a_fix_aligned.ps1,PowerShell,YES,Tools,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
tools\run_kappa2_state_vs_geometry.ps1,PowerShell,YES,Tools,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,System.Drawing or chart PNG emitters; treat as provisional until MATLAB parity or approval.
tools\run_kappa2_state_vs_geometry.py,Python,YES,Tools,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,matplotlib savefig to figures/ or run_dir; scientific overlays.
tools\run_review_audit.ps1,PowerShell,YES,Tools,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
tools\switching_canonical_control_scan.ps1,PowerShell,YES,Tools,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
tools\tau_vs_barrier_minimal_probe.ps1,PowerShell,YES,Tools,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
tools\validate_matlab_runnable.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
