"FILE","FILE_TYPE","IN_BOUNDARY","CHANGE_SCOPE_VERDICT","FINAL_DECISION","DECISION_CONFIDENCE","ROLLBACK_PRIORITY","REASON","GOVERNANCE_PRESERVE_REQUIRED","EXECUTION_RISK_IF_REVERTED"
"tables/switching_canonical_policy.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_risk_flags.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_robustness_contract.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_run_closure.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_scope.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_unknowns_resolution.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_canonical_violations.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_collapse_verification.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_core_analysis_coverage.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_invalid_runs.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_layer_boundary_map.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_layer1_robustness_evidence.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_layer1_robustness_reconciliation.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_layer1_robustness_verdicts.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_noncanonical_scripts.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_parameter_robustness_update_audit.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_replay_plan.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_replay_reconciliation.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_robustness_definition_recovery.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_robustness_execution_trace.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_robustness_rerun_readiness.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_robustness_root_validation.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_robustness_unblock_plan.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_run_trust_classification.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_scaling_canonical_test.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/switching_scaling_metrics_summary.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/system_calibration_fix_changes.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/system_calibration_fix_failure_contract.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/system_calibration_fix_parallel_safety.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/system_calibration_fix_recheck.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/system_nonblocking_boundary_audit.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/system_nonblocking_failure_taxonomy.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/system_nonblocking_injection_results.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/system_nonblocking_parallel_safety.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/system_nonblocking_token_efficiency.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/ver12_canonical_audit.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/ver12_overlay_dependency_after.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/ver12_overlay_dependency_before.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/ver12_results_usage_trace.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tables/wrapper_fix_audit.csv","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Switching/canonical/preflight governance registry; supports enforcement and audit without being runtime closure code.","YES","NONE"
"tools/classify_run_status.m","OTHER","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Infra helper not in MATLAB closure; may affect automation or loaders—verify dependency before KEEP/REVERT.","NO","MEDIUM"
"tools/enforce_canonical_phi1_source.m","OTHER","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Infra helper not in MATLAB closure; may affect automation or loaders—verify dependency before KEEP/REVERT.","NO","MEDIUM"
"tools/ensure_dir.m","OTHER","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Infra helper not in MATLAB closure; may affect automation or loaders—verify dependency before KEEP/REVERT.","NO","MEDIUM"
"tools/get_run_status_value.m","OTHER","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Infra helper not in MATLAB closure; may affect automation or loaders—verify dependency before KEEP/REVERT.","NO","MEDIUM"
"tools/getLatestRun.m","OTHER","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Infra helper not in MATLAB closure; may affect automation or loaders—verify dependency before KEEP/REVERT.","NO","MEDIUM"
"tools/load_observables.m","OTHER","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Infra helper not in MATLAB closure; may affect automation or loaders—verify dependency before KEEP/REVERT.","NO","MEDIUM"
"tools/load_run.m","OTHER","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Infra helper not in MATLAB closure; may affect automation or loaders—verify dependency before KEEP/REVERT.","NO","MEDIUM"
"tools/pre_execution_guard.ps1","CANONICAL_INFRA_ALLOWED","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","repo_execution_rules.md execution path; not MATLAB closure but policy-required wrapper/guard behavior.","YES","HIGH"
"tools/resolve_results_input_dir.m","OTHER","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Infra helper not in MATLAB closure; may affect automation or loaders—verify dependency before KEEP/REVERT.","NO","MEDIUM"
"tools/run_artifact_path.m","OTHER","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Infra helper not in MATLAB closure; may affect automation or loaders—verify dependency before KEEP/REVERT.","NO","MEDIUM"
"tools/run_matlab_safe.bat","CANONICAL_INFRA_ALLOWED","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","repo_execution_rules.md execution path; not MATLAB closure but policy-required wrapper/guard behavior.","YES","HIGH"
"tools/switching_canonical_control_scan.ps1","OTHER","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Infra helper not in MATLAB closure; may affect automation or loaders—verify dependency before KEEP/REVERT.","NO","MEDIUM"
"tools/switching_canonical_run_closure.m","OTHER","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Infra helper not in MATLAB closure; may affect automation or loaders—verify dependency before KEEP/REVERT.","NO","MEDIUM"
"tools/validate_matlab_runnable.ps1","CANONICAL_INFRA_ALLOWED","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","repo_execution_rules.md execution path; not MATLAB closure but policy-required wrapper/guard behavior.","YES","HIGH"
"tools/write_execution_marker.m","CANONICAL_INFRA_ALLOWED","YES","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","In closure; observability helper (canonical_boundary_violations_truth notes tables fallback).","YES","MEDIUM"
"tables/ (bulk: tracked legacy artifact deletions, ~150+ paths)","OTHER","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","HIGH","Aggregate deletion set; restoring vs keeping deleted artifacts is a retention policy decision outside automated boundary rules.","YES","HIGH"
